gɹæs	kɹas
gɹibɣifp	kɹibgifp
snɔfɹeɹk	snɔfɹeɹg
tsimβut	tsɪnbut
lɛɹβɶɹp	lɛɹpaɹb
zubpyɹp	dʊbpɪɹp
usgɹeɹs	uskɹeɹs
dɹilβœl	tɹɪlbɛl
bɹeɹdβoɹs	bɹeɹtboɹs
ɹɛɹlgɹɛɹf	ɹɛɹlkɹɛɹf
fɹudɹæɹn	fɹudɹaɹn
gɹuɸɔl	kɹupɔl
efbɹufp	efpɹʊfp
pɸuɹdbɹut	pfʊɹtpɹud
tæɹbbɹuɹt	taɹbpɹuɹt
luplɹuɹt	luplɹuɹt
dɹulβɔp	tɹulbɔp
lɹoɹgɣip	lɹoɹggɪp
suɸuɹl	tʊpuɹl
lɔɹnlip	lɔɹnlib
gɹutlɔɹp	gɹutlɔɹp
bɹeɣi	pɹegi
ofpsɛst	ofpsɛst
ɣepsiɹ	geptɪɹ
ɸœɹlbɹæt	pɛɹlbɹat
bɹɔɹbpɸɛk	bɹɔɹppfɛk
bɹikpɸut	pɹɪkpfut
sɹellɹok	sɹellɹok
ɸugpɸuɹt	pugpfuɹt
gɹisttæfp	gɹisttafp
gɹɛbfɹoɹl	kɹɛbfɹoɹl
neɹfnɹɛɹk	neɹfnɹɛɹg
ɸuɹdɣip	pʊɹdgɪb
gɹɛbɹel	gɹɛbɹel
gɹuɹfbɹe	gɹʊɹfpɹe
nɹistsnɔp	nɹistsnɔb
soɹsnɔɹ	soɹsnɔɹ
zɔɹɱfɔk	dɔɹnfɔg
dɹiɹgsnæl	tɹiɹgsnal
gɹæddɹe	gɹaddɹe
fuɹdsɔp	fuɹdtɔp
βolgɹæfp	bolkɹafp
dɹæɹlɣɛst	tɹaɹlgɛst
dɹɛɹbxit	tɹɛɹbkit
dɹensqɔp	dɹenskɔp
zɛɹdgɹɛt	dɛɹtkɹɛd
sniɹfβuɹs	sniɹfbʊɹs
tsɔnlɹens	tsɔnlɹens
zuɹgɣefp	dʊɹkgefp
fiffɛɹt	fɪffɛɹd
gɹoɹlfɔk	gɹoɹlfɔg
tseɹgdɹufp	tseɹgtɹufp
dɹubsuɹk	tɹubtʊɹg
ziggɹɔk	digkɹɔg
sniɹdtsit	snɪɹdtsɪd
niɹdbɹɔp	niɹtpɹɔb
gɹɔtzet	kɹɔtded
linspɸust	linspfust
bɹugɣɛk	pɹuggɛg
it	ɪit
bɹɔdgɹɔn	pɹɔdgɹɔn
zɔfɹuɹl	dɔfɹʊɹl
nɹednɔɹp	nɹednɔɹp
tsɔsnɹoɹl	tsɔsnɹoɹl
tsɛdbɹoɹk	tsɛdbɹoɹg
snubpyl	snʊbpɪl
βoplin	boplin
quɹbtæf	kuɹbtaf
bɹilɣif	bɹɪlgif
lɹɔɹɢoɹ	lɹɔɹgoɹ
lugnɹɛɹf	lugnɹɛɹf
ɹiɹbsnot	ɹiɹpsnot
dɹusdæɹl	tɹusdaɹl
nɹofbɹut	nɹofbɹut
gɹænnɔk	kɹannɔk
zɛɹfpɸu	dɛɹfpfʊ
gɹiɹgpɸɛt	gɹɪɹkpfɛd
zonsxɛɹt	donskɛɹt
ziɹbbɹuɹf	diɹppɹʊɹf
tsupɸɹæk	tsʊpfɹag
lɹuɹbbɹuɹn	lɹʊɹbpɹuɹn
dɹulsæn	tɹulsan
bɹestleɹl	pɹestleɹl
seɹgxel	seɹgkel
snækfɹit	snakfɹɪd
bɹɛgsniɹ	pɹɛgsniɹ
nɹeɹgsnɛ	nɹeɹgsnɛ
næfpɸɹæt	nafpfɹad
bɹænsxɛt	bɹanskɛd
nɹoɹbtso	nɹoɹptso
letsɔt	letsɔd
sɹɔβɶ	sɹɔba
pɸæddɹop	pfaddɹob
zoɹdfup	doɹtfup
ɣiɹgnɹit	gɪɹgnɹit
ɸɔɹfgɹep	pɔɹfgɹeb
tsullɹop	tsʊllɹob
ɣefpsiɹn	gefptɪɹn
fɹiɸɔɹ	fɹipɔɹ
nɛfdɹist	nɛfdɹɪst
snɛlpɸoɹl	snɛlpfoɹl
iɹssɹop	iɹssɹob
fɹuɹglɹis	fɹuɹglɹis
suddɹeɹf	tudtɹeɹf
foɹgfɹeɹ	foɹkfɹeɹ
gɹuɹfsoɹf	gɹuɹfsoɹf
ɢogloɹ	gogloɹ
nɔɹgdɹu	nɔɹktɹʊ
ɸiɹsbɹoɹk	piɹsbɹoɹg
sɹiɹdlɹɛk	sɹiɹdlɹɛg
lofɣist	lofgist
dɹɛtɸøf	dɹɛtpef
xɛtfɹɛk	kɛtfɹɛg
bɹitβɔs	bɹitbɔs
sufpɢɔt	tufpgɔt
nutnek	nutneg
ɢɔɹfsiɹ	gɔɹftɪɹ
ɹolsiɹs	ɹolsɪɹs
gɹinsnɹel	kɹinsnɹel
gɹuɹdɸɔɹt	kɹuɹtpɔɹt
lɹisfɔɹt	lɹisfɔɹt
gæɹssæɹs	gaɹssaɹs
bɹiɹfzɛn	bɹiɹfdɛn
lɹɔɹdsiɹt	lɹɔɹtsiɹd
bɹolɛ	pɹolɛ
gɹoɹbβœt	kɹoɹbbɛt
βobtsiɹf	bobtsiɹf
dɹutgɹæt	tɹutkɹad
ɹoɹdlɹɛɹt	ɹoɹtlɹɛɹd
pɸæɹbdɹæɹs	pfaɹbdɹaɹs
suɹɹi	sʊɹɹɪ
sɹɔɹgpɸiɹk	sɹɔɹgpfɪɹg
bɹuɹlnɛɹn	pɹuɹlnɛɹn
ɣiɹsbɹæɹn	gɪɹspɹaɹn
dɹɛsson	dɹɛston
ɸuɹgsneɹp	puɹksneɹp
nɹuɹmbyp	nɹuɹnbɪb
snenlɹɛɹt	snenlɹɛɹt
tsolzɔɹt	tsoldɔɹt
dɹiɹdɹɛp	dɹiɹtɹɛp
kænssufp	kanstʊfp
sɹɔfpsnek	sɹɔfpsneg
βiɹflɹeɹt	biɹflɹeɹt
ɸilsnul	pilsnʊl
nonspɸup	nonspfʊb
ɣiɹdtsæɹl	giɹdtsaɹl
xɛɹfsnup	kɛɹfsnup
pɸeɱfu	pfenfʊ
fiɹlniɹp	fɪɹlnɪɹb
gɹuɹbdɹiɹk	gɹuɹptɹiɹg
ɹeɹfβuɹl	ɹeɹfbʊɹl
dɹɛnsgɹɛɹp	tɹɛnsgɹɛɹp
fɹɛɹgsniɹk	fɹɛɹgsnɪɹg
gɹɔɹdɹiɹk	gɹɔɹtɹɪɹk
dɹiɹɱfɹæk	tɹɪɹnfɹag
fɹofpse	fɹofpse
ɸœtdɹuɹl	pɛtdɹuɹl
nɹæɹndɹin	nɹaɹntɹɪn
bɹæɹsbɹo	pɹaɹsbɹo
iɹbfɛs	iɹpfɛs
gɹussɛɹl	kɹustɛɹl
fɹiɹdɸɶɹf	fɹiɹtpaɹf
ɛlæɹp	ɛlaɹb
ɸupɸiɹt	pʊpfɪɹd
βɔɹɣiɹp	bɔɹgiɹp
iɹlɹus	ɪɹlɹʊs
nɔtpys	nɔtpɪs
noɹbsnin	noɹbsnɪn
sefpdɹa	tefptɹa
snɔɹbgɹus	snɔɹbgɹus
bɹæssiɹp	bɹassɪɹp
ɔɹbxef	ɔɹpkef
gɹoɹlnɹuk	gɹoɹlnɹʊg
gɹoɹbnɛt	gɹoɹbnɛt
nɔfgɹot	nɔfgɹod
pɸeɹbpyp	pfeɹppɪb
xɛɹbɹɔns	kɛɹbɹɔns
βoɱfɛɹn	bonfɛɹn
qɔfɹɛɹp	kɔfɹɛɹp
ɔɹbsɹoɹn	ɔɹpsɹoɹn
gɹeɹdbɹɔl	gɹeɹtbɹɔl
siŋɢon	tɪngon
dæstsɹefp	dastsɹefp
gɹɛmbɹæɹp	gɹɛnbɹaɹp
pɸikbyl	pfɪkbɪl
lɹogbɹɛk	lɹogpɹɛg
xɛɹfni	kɛɹfnɪ
ɸøɹlfifp	peɹlfifp
gɹiɹdfiɹp	kɹɪɹtfɪɹp
fɹæɹndɹɛ	fɹaɹndɹɛ
ɢuɹgɹiɹt	gʊɹgɹɪɹd
βupdɹins	bupdɹins
bɹeɹdgɹɔɹn	bɹeɹdgɹɔɹn
snoɹfæɹs	snoɹfaɹs
fɹubgɹɔk	fɹʊbgɹɔk
nɹuɹβut	nɹʊɹbʊt
dɹuɹgɸuk	tɹʊɹkpug
ɹustgɹit	ɹʊstgɹid
dɹiɹsqop	dɹiɹskob
ɹoɹsnuɹp	ɹoɹsnuɹb
dɹusgɹiɹt	tɹuskɹiɹt
nɹiɹfza	nɹiɹfda
fɹɛtbɹes	fɹɛtpɹes
fɹeɹfɢoɹf	fɹeɹfgoɹf
lɹustsɹɛɹl	lɹustsɹɛɹl
bɹoɹbgɹeɹf	pɹoɹpgɹeɹf
fɹuɹsgɹɔɹn	fɹʊɹsgɹɔɹn
seɹβɔɹp	seɹbɔɹp
lɹutsuɹk	lɹʊtsuɹg
tsiɹgɹip	tsiɹkɹip
ɹæɹnnɔst	ɹaɹnnɔst
βuptsep	buptseb
xiɹdgæst	kiɹdgast
lɹɔɹbsil	lɹɔɹpsɪl
fɛɹnnɹist	fɛɹnnɹist
gɹuɹglɹɔp	gɹuɹklɹɔb
lɹɛɹbɹip	lɹɛɹpɹɪb
nuɹɢɔɹp	nuɹkɔɹb
sɹubɣi	sɹubgɪ
byɹgɹɔɹf	bɪɹgɹɔɹf
βɔɹfɣiɹf	bɔɹfgɪɹf
niɹsɸɶp	nɪɹspap
unsɔɹt	ʊntɔɹt
ɹænsfin	ɹansfin
dɹoɹdlɹul	dɹoɹtlɹʊl
fɹiɹnlɹep	fɹɪɹnlɹeb
ɹɔɹbβœt	ɹɔɹpbɛd
nofbɹiɹf	nofpɹiɹf
gɹibbɹop	gɹibbɹop
eɹfsniɹs	eɹfsniɹs
dɹodbɹɔk	tɹodpɹɔg
bɹogzɔ	pɹogdɔ
fufpnek	fufpnek
gɹoɹbgɹok	kɹoɹbgɹok
ɹopbɹis	ɹopbɹis
sɛseɹf	sɛseɹf
uɹgfek	ʊɹkfek
fosgɹɛp	foskɹɛp
nɹæɹlpɸis	nɹaɹlpfis
liɹfgɹon	liɹfkɹon
pɸolfæɹp	pfolfaɹp
sɹæɹgxek	sɹaɹkkeg
dɹopbɹɔn	tɹopbɹɔn
lɔksiɹp	lɔksiɹp
foɹnnæk	foɹnnak
xɛlsuɹ	kɛlsʊɹ
nɹostbɹæɹt	nɹostpɹaɹt
bɹæɹgsɛl	bɹaɹktɛl
ɢostsit	gostsid
nukxɛs	nʊkkɛs
oɹdbɹeɹk	oɹdbɹeɹk
sɹesɣɛɹp	sɹesgɛɹp
gɹokqust	kɹokkʊst
ɸufɸœf	pʊfpɛf
ɣeɹffufp	geɹffufp
bɹetlɹæɹs	pɹetlɹaɹs
nɹægɹɛɹk	nɹagɹɛɹk
foɹbɸuns	foɹppʊns
lɹæftsæk	lɹaftsag
ɢusfeɹp	gusfeɹp
dɹɛɹgbɹifp	dɹɛɹgbɹɪfp
ɹeɹfɹuɹ	ɹeɹfɹʊɹ
sɹædfɔp	sɹadfɔb
lɛɹdgɹɛp	lɛɹdgɹɛp
tsuksɛs	tsuktɛs
tsɛggɹoɹf	tsɛgkɹoɹf
nɹuɹgɹist	nɹuɹgɹɪst
utɸøl	ʊtpel
snɔɹdpɸif	snɔɹtpfif
nɹedpyɹk	nɹedpɪɹk
quɹsɸɶ	kʊɹspa
ɹɛgtson	ɹɛgtson
lɔɹɣip	lɔɹkɪb
ɢɔsdɹæfp	gɔsdɹafp
pɸostβɶns	pfostbans
bɹɛɹdɹok	pɹɛɹdɹog
xɛsfust	kɛsfust
fɹɛkloɹt	fɹɛkloɹt
seɹdlɹæɹs	seɹdlɹaɹs
qɔtɸiɹt	kɔtpiɹd
lɹetfɔɹf	lɹetfɔɹf
gɹiglut	kɹɪglut
nosɹoɹk	nosɹoɹk
dɹɔstnɹɛɹl	tɹɔstnɹɛɹl
gɹænsɸiɹp	kɹanspiɹb
gɹɔɹdxin	kɹɔɹdkin
ɸodɹæns	potɹans
snuɹbtsɔɹs	snuɹbtsɔɹs
kæppɸuɹk	kappfuɹk
bɹostæfp	bɹostafp
kæɹdquf	kaɹdkuf
ɸosdɹæɹt	posdɹaɹt
fɹudgɹɔɹl	fɹʊdkɹɔɹl
zifuɹn	dɪfuɹn
nussnuɹn	nussnuɹn
ɣɛggɹæɹf	gɛggɹaɹf
dɹudsɹɛs	dɹʊdsɹɛs
qoɹmbɹɔ	koɹnpɹɔ
zinlɹuɹt	dinlɹʊɹd
ɣeɹfβoɹp	geɹfboɹp
bɹifptæf	pɹifptaf
fæfliɹ	fafliɹ
fɹɔlsup	fɹɔltub
noɹdsot	noɹdsod
xensɹoɹk	kensɹoɹk
sɛsnek	tɛsnek
leɹfop	leɹfop
soktsus	toktsʊs
tsibsɹek	tsɪbsɹeg
gɹɛdsɔp	kɹɛdsɔb
ɸobgɹɛɹn	pobgɹɛɹn
fɹɛsdɹɛk	fɹɛstɹɛg
snogdɹoɹt	snogtɹoɹt
luɹbsnun	lʊɹpsnʊn
bɹɛɹdsi	bɹɛɹdsi
xekbɹuɹt	kekpɹʊɹt
ɢuɹŋɣɛɹp	guɹngɛɹp
snipβup	snɪpbʊb
sɹiɹllɹɔfp	sɹiɹllɹɔfp
sædɹæk	satɹag
sɹobkæfp	sɹobkafp
ɣillæns	gillans
leɹssuɹk	leɹstʊɹk
zuɹddɹot	dʊɹttɹod
ziɹbɹit	dɪɹbɹɪt
sɹidgɹɛt	sɹɪdgɹɛd
ɸudɹiɹf	pudɹiɹf
bɹuɹgɢuf	pɹʊɹggʊf
snoɹddɹif	snoɹttɹɪf
sninslɹifp	sninslɹɪfp
snubpɸæɹk	snʊbpfaɹg
bɹwøp	pɹueb
dɹæstsɹus	dɹastsɹus
uɹŋqufp	ʊɹnkufp
ɹæszoɹk	ɹasdoɹk
nɹuɹddɹɔfp	nɹuɹddɹɔfp
xiɹmβɔɹk	kɪɹnbɔɹg
litnuɹp	lɪtnuɹp
bɹofpdɹæɹp	bɹofpdɹaɹp
sizɔ	tɪdɔ
nɹiɹgluk	nɹɪɹglʊg
sniɹlβøk	sniɹlbeg
uɹbɹut	ʊɹbɹʊd
βɶɹlsef	baɹltef
sɹensɹoɹp	sɹensɹoɹb
nibbɹot	nibpɹod
βufplɹut	bʊfplɹʊd
gɹiɹdseɹt	kɹɪɹtseɹd
snissuɹs	snistuɹs
tsɛɹŋgɹæɹt	tsɛɹngɹaɹt
lɹonsgɹæɹn	lɹonsgɹaɹn
lɹɔgseɹs	lɹɔgteɹs
snæɹuɹs	snaɹʊɹs
fɹinnɹeɹl	fɹinnɹeɹl
fɹugtæɹt	fɹʊgtaɹd
eɹdpɸiɹp	eɹdpfɪɹp
sitfos	titfos
gɹiɹsnɹiɹs	kɹiɹsnɹiɹs
gɹɛɹfɹɔn	kɹɛɹfɹɔn
dɹoɹgfɹeɹ	dɹoɹgfɹeɹ
gɹuɹdgɹɛɹp	gɹuɹdkɹɛɹb
lesgɹiɹt	leskɹɪɹd
ɸofsoɹ	pofsoɹ
gɹætdɹuɹt	gɹattɹʊɹt
gɹætnɹist	kɹatnɹɪst
funɹun	fʊnɹʊn
ɹeɹbpɸiɹt	ɹeɹbpfɪɹt
tsusnɹæɹt	tsusnɹaɹd
dɹiɹldɹons	dɹɪɹltɹons
βɔfpɸuɹn	bɔfpfʊɹn
ɸusxik	pʊskɪk
fɔɹgsɹiɹt	fɔɹksɹɪɹt
zɛɹgdɹuɹs	dɛɹgdɹʊɹs
βøfsil	beftɪl
sɹuɹgnɹɛns	sɹʊɹgnɹɛns
noɹfɸɶt	noɹfpat
lɹuɹsnæɹk	lɹuɹsnaɹk
dɹiɹfnin	dɹɪɹfnin
bɹiɹdsɹɔn	bɹiɹdsɹɔn
nɹiɹnɹeɹk	nɹiɹnɹeɹk
ɹæbgɹæk	ɹabgɹak
gæbbɹɔt	gabpɹɔd
tsifdɹek	tsɪftɹek
bɹiktsoɹk	bɹɪktsoɹg
pɸuɹfɢuns	pfʊɹfguns
ɹiɹfɹoɹk	ɹiɹfɹoɹk
sɛlbɹɔɹk	sɛlpɹɔɹg
dɹɛɹdzuɹt	tɹɛɹtduɹd
tsoɹfpɸi	tsoɹfpfɪ
dɹæɹnsnup	dɹaɹnsnʊp
ɹigbɹɔɹ	ɹɪgbɹɔɹ
lɹɛnssnɛs	lɹɛnssnɛs
ulnut	ʊlnud
sɔɹdluɹt	sɔɹtlʊɹd
tsɛdsɛɹt	tsɛdsɛɹt
dɹiɹdsɹɛɹl	tɹɪɹdsɹɛɹl
βobɹil	bopɹɪl
dɹɔɹdgɹef	dɹɔɹtgɹef
dɹɔɹdɹet	dɹɔɹdɹet
nidβiɹf	nɪdbiɹf
fɹuɹbɹok	fɹʊɹpɹog
lɹɛɹmbɹot	lɹɛɹnbɹod
ɸɔbkæk	pɔbkag
ɸɔkfek	pɔkfeg
læɹmbɹuɹp	laɹnpɹuɹp
gɹoɹlfɹæp	gɹoɹlfɹab
bɹekgɹɔɹl	pɹekkɹɔɹl
lɹuɹmpɸuns	lɹuɹnpfuns
dɹɛstgɹens	tɹɛstgɹens
zifsɛs	difsɛs
tsæɹbdæɹ	tsaɹbdaɹ
dɹɔɹdɣiɹ	dɹɔɹdgiɹ
ɸɔsttæk	pɔsttak
liɹlgɹup	lɪɹlkɹʊb
siɹllɹoɹl	siɹllɹoɹl
βibɹæp	bipɹab
tsikɣiɹt	tsɪkgɪɹt
lɹiɹdgɹæn	lɹiɹdgɹan
snɔɹɣist	snɔɹkist
bɹunssɹik	bɹunssɹɪk
ɸunsniɹt	punsnɪɹd
dælsnɛp	dalsnɛb
lɹænet	lɹaned
tsustbɹiɹk	tsʊstbɹɪɹk
fɹɛsxiɹn	fɹɛskɪɹn
dɹiɹldɹuɹp	dɹɪɹldɹuɹb
fɹufzis	fɹʊfdis
qɔkgɹul	kɔkgɹul
ɹuɹdsoɹn	ɹuɹtsoɹn
xɛlsɔɹp	kɛlsɔɹb
sipɸɹil	tipfɹɪl
nɹɔdsofp	nɹɔdtofp
lɛffɹufp	lɛffɹufp
sumβøt	tʊnbet
βøgdɹuɹp	begdɹʊɹb
gɹonsgɹel	gɹonskɹel
sniɹgnuɹk	sniɹknʊɹg
nɛlfɹoɹn	nɛlfɹoɹn
ɸizɛɹp	pidɛɹb
gɹimbɹɔns	kɹɪnbɹɔns
sɛɹgdɹil	tɛɹktɹɪl
ɹɔlsɹɔp	ɹɔlsɹɔp
ɹɔɹsdɹeɹk	ɹɔɹstɹeɹk
snɔɹsgɹuɹk	snɔɹskɹʊɹg
feɹdæs	feɹtas
dɹiɹsɹef	tɹɪɹsɹef
liquf	likʊf
fonsbɹæs	fonspɹas
lɹɔknɛɹt	lɹɔknɛɹt
bydɹuɹk	bɪtɹʊɹg
fɹæfpsɹæk	fɹafpsɹag
sniɹdsɹiɹt	snɪɹdsɹiɹt
bɹubfik	bɹubfik
qoɹzeɹn	koɹteɹn
zoβɔɹs	dobɔɹs
βɔfdɹɔt	bɔftɹɔd
dɹɔɹdnɹuɹs	tɹɔɹtnɹʊɹs
eɹddɹil	eɹttɹɪl
gɹulβɶk	gɹʊlbag
ɢɔfɹi	gɔfɹi
fɹeɹdgɹɔl	fɹeɹtgɹɔl
dɹɔɹnɹon	tɹɔɹnɹon
bɹetnoɹk	pɹetnoɹg
βøgɸøt	begped
ɣesseɹs	gesteɹs
feɹgɹiɹn	feɹgɹiɹn
lɹɛtgɹons	lɹɛtgɹons
nɛɹlxep	nɛɹlkep
fofplɹɛɹ	fofplɹɛɹ
ɢuɹfdɹip	gʊɹfdɹɪp
sɛmβœn	sɛnbɛn
gɹibbɹut	gɹibpɹut
fupɸɹɔɹt	fupfɹɔɹt
dɹæɹftsut	dɹaɹftsut
gɹepbɹif	gɹeppɹif
kæfpβot	kafpbot
dɹopɸɹɔ	dɹopfɹɔ
gɹunskæn	kɹunskan
dɹɛnsnɔs	dɹɛnsnɔs
uɹglɹæɹt	ʊɹglɹaɹt
fuɹdbɹit	fuɹtpɹɪd
nɛɹdgɹiɹt	nɛɹtgɹɪɹt
ɸuɹbquɹf	pʊɹbkuɹf
luɹbβoɹ	lʊɹbboɹ
bɹistpɸiɹt	bɹistpfiɹd
qɔɹdsof	kɔɹdsof
tsuɹslɹefp	tsʊɹslɹefp
zussɹen	dussɹen
siɹdpɸens	tiɹdpfens
tsupnɹoɹn	tsʊpnɹoɹn
fɹestgɹist	fɹestkɹist
gɹeɹnɹuɹs	kɹeɹnɹuɹs
lɛɹdɹɛɹk	lɛɹtɹɛɹg
fɹofpdɹuk	fɹofptɹuk
dɹilsɹofp	dɹilsɹofp
bɹuɹɱfɹins	pɹuɹnfɹɪns
siɹggɹust	siɹgkɹust
fɹæɹggɹæk	fɹaɹgkɹag
tsuɹdfɹɔɹn	tsʊɹtfɹɔɹn
sidbɹil	tidpɹil
bɹissɹɛ	bɹɪssɹɛ
nɹɛgɹup	nɹɛgɹʊp
nɔɹbnuɹt	nɔɹpnʊɹd
sissef	sissef
seɹgfɔɹk	teɹkfɔɹk
fɹæɹslɹeɹp	fɹaɹslɹeɹp
ɹinleɹt	ɹɪnleɹd
ɢuɹnzun	guɹndun
ɢuɹglɹuɹp	guɹklɹuɹp
sɹuɹgliɹp	sɹʊɹglɪɹb
ɸoɱfiɹk	ponfɪɹk
bɹɔɹdtsens	bɹɔɹttsens
dɹuɹlɹæɹs	tɹʊɹlɹaɹs
bɹænuɹ	bɹanuɹ
nɹostsok	nɹosttog
liɹbbɹæfp	lɪɹpbɹafp
ɢonspɸit	gonspfit
fɹifɸøs	fɹɪfpes
dɹibɹit	dɹɪbɹit
βuɹgbɹæt	buɹkbɹad
pɸunskæɹp	pfunskaɹb
fɹɛɹmpyt	fɹɛɹnpɪt
eɹdtsɔns	eɹttsɔns
sɹuɹlnuɹk	sɹʊɹlnuɹk
iɹdtæk	ɪɹttak
lunsuɹl	luntuɹl
siɹfbɹun	siɹfbɹun
nɹæɹlze	nɹaɹlde
snɛfpbɹɛɹl	snɛfpbɹɛɹl
βuɹgsoɹs	buɹksoɹs
lɹuɹlbɹut	lɹʊɹlpɹud
dɹiɹlnɹet	dɹiɹlnɹet
sæksɹiɹp	saksɹiɹb
xeffɔt	keffɔt
ɣelfip	gelfib
sæɹzoɹf	saɹtoɹf
pɸɔtxiɹt	pfɔtkɪɹt
sɛɹnnɹæɹs	sɛɹnnɹaɹs
pɸɔfɸiɹt	pfɔfpiɹt
ɢosnɹɔp	gosnɹɔb
byɹggɹɛɹp	bɪɹggɹɛɹb
sɔɹɢuɹk	tɔɹkuɹg
ansɸiɹl	anspiɹl
tsænsfek	tsansfek
ɸoɹdgɹok	poɹtkɹok
dɹiɹsɹæf	dɹɪɹsɹaf
dɹosɹɛɹn	tɹosɹɛɹn
fiɹdɹɛɹs	fɪɹtɹɛɹs
bɹoptsɛp	bɹoptsɛp
lɹibbɹæɹ	lɹibpɹaɹ
fɹeɹlɸɔɹk	fɹeɹlpɔɹg
tsɛɹggɹuɹ	tsɛɹgkɹuɹ
bɹoɹdgɹɔɹs	bɹoɹdkɹɔɹs
nɔnssɹun	nɔnssɹʊn
fɹɔziɹ	fɹɔdɪɹ
bɹɛbdɹæf	bɹɛbtɹaf
zɛnsɢut	dɛnsgud
dɹiklufp	tɹiklufp
siɹgɹek	siɹkɹek
fɹiɹfsuf	fɹɪɹfsʊf
pɸutxeɹp	pfutkeɹb
sɹenssɹɛɹt	sɹenssɹɛɹd
tsiɹdgɹæl	tsiɹdkɹal
pyfpbɹæɹl	pɪfppɹaɹl
tæɹlɹet	taɹlɹed
ɹiɹffek	ɹɪɹffek
sobɣɛt	tobgɛt
βøɹfu	beɹfʊ
nækdɹiɹ	nakdɹiɹ
tsiɹgβiɹl	tsiɹgbiɹl
lɹulust	lɹʊlust
gɹɛdgɹoɹt	gɹɛdkɹoɹt
gɹiɹndɹist	kɹɪɹntɹɪst
fæɹnsul	faɹntʊl
zuɹlβon	dʊɹlbon
uɹdgɹɔ	ʊɹtgɹɔ
zolgɹufp	dolkɹʊfp
sɹæɹggɹul	sɹaɹgkɹʊl
lɹipnɔɹ	lɹipnɔɹ
gɹiggɹofp	gɹɪgkɹofp
siɹbgɹefp	siɹpgɹefp
snæfɣef	snafgef
gæɹdɢu	gaɹdgʊ
gɹidzif	kɹiddɪf
snufsoɹf	snuftoɹf
qupseɹf	kupteɹf
lɹeɹnɹest	lɹeɹnɹest
gɹæɹbɹuns	kɹaɹpɹuns
bɹukfɹɛɹs	pɹukfɹɛɹs
læɹfgɹɔɹf	laɹfkɹɔɹf
neɹfdɹɛp	neɹfdɹɛp
suɹdsɛp	suɹtsɛb
ɹɛlgɹuk	ɹɛlkɹʊk
fɹisdɹist	fɹisdɹɪst
sunsβun	tʊnsbʊn
ɛɹdbɹiɹp	ɛɹdpɹɪɹp
quɹdɢu	kuɹtgu
fiɹdsnɛt	fiɹdsnɛd
lɛɹfɹeɹp	lɛɹfɹeɹp
zisɹuɹp	disɹʊɹb
lɹinsdɹiɹs	lɹinstɹɪɹs
gɹuplop	gɹuplob
ɹodpɸip	ɹodpfib
sofbɹɛst	sofpɹɛst
ɸœbgɹæl	pɛbkɹal
pɸigfɹoɹn	pfigfɹoɹn
siɹlβɔɹ	tiɹlbɔɹ
fiɹbnuns	fɪɹbnʊns
sneɹbliɹp	sneɹpliɹb
bɹuɹlnɹæɹt	bɹuɹlnɹaɹt
bɹubtsul	pɹubtsul
fɹiɹdsnil	fɹiɹdsnil
quɹɱfɹufp	kʊɹnfɹʊfp
pɸiɹŋkæɹf	pfɪɹnkaɹf
fɹæfpzuɹp	fɹafpduɹp
βuɹŋxɛɹp	buɹnkɛɹb
noɹntsɛk	noɹntsɛk
tsoglut	tsoglʊt
tsiggɹuɹ	tsiggɹuɹ
iɹslɹuɹ	iɹslɹuɹ
sɹɔɹsbɹest	sɹɔɹspɹest
dɹæɹzip	tɹaɹtip
lɹæstlɹist	lɹastlɹɪst
isdɹoɹs	ɪsdɹoɹs
sɹopbɹeɹp	sɹoppɹeɹp
βuɹfbɹiɹs	bʊɹfbɹiɹs
neɹbβun	neɹbbʊn
ɹæɹgdɹɛt	ɹaɹktɹɛd
ɹibɸip	ɹɪbpib
sistsifp	tistsɪfp
gɹæpgɹɛt	gɹapgɹɛt
lɹuɹlsnon	lɹuɹlsnon
gɹɛfpsɹuɹs	gɹɛfpsɹuɹs
bɹiɹfeɹt	bɹiɹfeɹd
nɹeɹnɹɔl	nɹeɹnɹɔl
dɹuɹltsɔɹt	dɹuɹltsɔɹt
lɹudsoɹs	lɹʊdtoɹs
bɹæbniɹt	bɹabniɹt
nɹɛɹnzɔɹt	nɹɛɹndɔɹd
ɸœfgɹin	pɛfgɹɪn
βœɹbpɸuɹf	bɛɹbpfʊɹf
dɹuɹfsɹiɹk	dɹʊɹfsɹɪɹk
ɹɛɹbgɹuɹp	ɹɛɹpkɹʊɹb
lɹudziɹl	lɹʊddɪɹl
ɹipɸu	ɹɪpfʊ
gɹeɹssuɹf	gɹeɹstʊɹf
sɹiɹgbɹiɹk	sɹiɹgbɹiɹg
zunstsuɹt	dunstsʊɹd
nɹoɹfzus	nɹoɹfdʊs
ɸukfɹɔt	pʊkfɹɔt
qugɹof	kugɹof
pɸuɹgɹuk	pfʊɹgɹuk
tsɔlɹeɹ	tsɔlɹeɹ
zɛɹbloɹl	dɛɹbloɹl
xiksɹæɹk	kɪksɹaɹg
ɹimɸost	ɹinpost
lɹuɹbɣeɹp	lɹuɹbgeɹp
sɹɔgɣɛɹp	sɹɔggɛɹp
βøɹdɣiɹs	beɹtgɪɹs
foblɹiɹk	foblɹɪɹg
ɹuɹdsɹɔt	ɹuɹtsɹɔt
